	y	env	group
255	0.313656758	0.8425	NH4
256	0.16261217	1.1815	NH4
257	0.200049075	2.1525	NH4
258	0.440935222	5.585	NH4
259	0.373808188	3.703	NH4
260	0.447314919	5.0265	NH4
261	0.516930735	6.4855	NH4
262	0.453694616	59.523	NH4
263	0.440584689	11.6315	NH4
264	0.458076276	6.575	NH4
265	0.517351374	11.61	NH4
266	0.297707515	1.265	NH4
267	0.286876052	0.5715	NH4
268	0.307767807	0.723	NH4
269	0.314147504	0.7605	NH4
270	0.186238082	0.971	NH4
271	0.444580763	4.4035	NH4
272	0.370758553	2.5215	NH4
273	0.445562255	3.845	NH4
274	0.516019349	5.304	NH4
275	0.459653674	58.3415	NH4
276	0.435642176	10.45	NH4
277	0.457865956	5.3935	NH4
278	0.511287156	10.4285	NH4
279	0.305138811	0.0835	NH4
280	0.287892597	0.61	NH4
281	0.315549635	0.4585	NH4
282	0.309204992	0.421	NH4
283	0.456043186	3.4325	NH4
284	0.384254066	1.5505	NH4
285	0.455692653	2.874	NH4
286	0.526009534	4.333	NH4
287	0.466489063	57.3705	NH4
288	0.44882221	9.479	NH4
289	0.47073051	4.4225	NH4
290	0.516545149	9.4575	NH4
291	0.314147504	0.8875	NH4
292	0.304087213	1.581	NH4
293	0.317547672	1.4295	NH4
294	0.324558329	1.392	NH4
295	0.289224621	1.882	NH4
296	0.262934661	0.5585	NH4
297	0.303876893	0.9005	NH4
298	0.272854739	53.938	NH4
299	0.264862591	6.0465	NH4
300	0.319580763	0.99	NH4
301	0.348920359	6.025	NH4
302	0.417379417	4.32	NH4
303	0.454185362	5.0135	NH4
304	0.473674986	4.862	NH4
305	0.447525238	4.8245	NH4
306	0.329535895	1.3235	NH4
307	0.376752664	2.7825	NH4
308	0.342330342	55.82	NH4
309	0.27425687	7.9285	NH4
310	0.322840718	2.872	NH4
311	0.33290101	7.907	NH4
312	0.363222098	2.438	NH4
313	0.361189007	3.1315	NH4
314	0.364519069	2.98	NH4
315	0.35298654	2.9425	NH4
316	0.283581043	1.459	NH4
317	0.28109226	54.4965	NH4
318	0.239063376	6.605	NH4
319	0.311343242	1.5485	NH4
320	0.345415031	6.5835	NH4
321	0.413313236	3.7615	NH4
322	0.460600112	4.455	NH4
323	0.480300056	4.3035	NH4
324	0.45075014	4.266	NH4
325	0.279760236	53.0375	NH4
326	0.27019069	5.146	NH4
327	0.310537016	0.0895	NH4
328	0.358139372	5.1245	NH4
329	0.480194896	5.2205	NH4
330	0.526780707	5.914	NH4
331	0.541783511	5.7625	NH4
332	0.52201346	5.725	NH4
333	0.237906618	47.8915	NH4
334	0.309134885	52.948	NH4
335	0.360312675	47.913	NH4
336	0.420919798	58.258	NH4
337	0.462422883	58.9515	NH4
338	0.478652552	58.8	NH4
339	0.452117218	58.7625	NH4
340	0.257045709	5.0565	NH4
341	0.275974481	0.0215	NH4
342	0.402236399	10.3665	NH4
343	0.431575996	11.06	NH4
344	0.450574874	10.9085	NH4
345	0.422041503	10.871	NH4
346	0.339981772	5.035	NH4
347	0.432872967	5.31	NH4
348	0.466313797	6.0035	NH4
349	0.484962142	5.852	NH4
350	0.460004206	5.8145	NH4
351	0.4551318	10.345	NH4
352	0.45748037	11.0385	NH4
353	0.465016826	10.887	NH4
354	0.445351935	10.8495	NH4
355	0.257150869	0.6935	NH4
356	0.290837072	0.542	NH4
357	0.269840157	0.5045	NH4
358	0.204395681	0.1515	NH4
359	0.191706394	0.189	NH4
360	0.222202748	0.0375	NH4
361	0.171761077	0.04704815	TN
362	0.186273135	0.09022304	TN
363	0.190514582	0.025920548	TN
364	0.446333427	0.580108901	TN
365	0.370793606	0.058298175	TN
366	0.452292485	0.169182993	TN
367	0.521487661	0.486026821	TN
368	0.458006169	0.82868005	TN
369	0.439673303	0.537599874	TN
370	0.462843522	0.372499226	TN
371	0.508342681	0.490929159	TN
372	0.300336511	0.063638454	TN
