OTU_num	T.T4CK.1	T.T4CK.2	T.T4CK.3	T.T4CK.4	T.T4B.1	T.T4B.2	T.T4B.3	T.T4B.4
OTU_111	86	93	122	105	69	107	96	83
OTU_112	23	64	32	50	16	16	8	6
OTU_113	5	8	3	4	5	4	8	4
OTU_114	0	0	0	1	3	169	5	3
OTU_115	371	326	425	379	92	84	105	89
OTU_116	153	142	142	242	192	233	238	245
OTU_117	52	37	66	64	28	25	29	30
OTU_118	63	62	62	40	46	50	44	32
OTU_119	29	20	30	15	10	9	11	8
OTU_120	40	6	11	22	33	29	107	57
OTU_121	0	0	0	0	3	6	3	1
OTU_122	33	32	47	32	13	13	15	10
OTU_123	22	30	33	21	35	18	29	21
OTU_124	45	35	51	84	84	71	47	100
OTU_125	8	20	12	10	11	12	13	10
OTU_126	149	137	114	171	73	50	48	46
OTU_127	38	61	40	49	137	78	61	135
OTU_128	23	19	29	22	38	33	24	23
OTU_129	43	36	74	24	22	35	24	16
OTU_130	35	22	29	15	7	9	11	14
OTU_131	52	50	56	41	97	88	54	70
OTU_132	86	122	68	110	92	123	119	116
OTU_133	98	112	94	69	52	84	48	96
OTU_134	37	27	57	109	37	29	40	67
OTU_135	23	29	26	15	47	44	78	100
OTU_136	51	49	47	35	93	84	92	100
OTU_137	61	112	46	41	132	46	47	25
OTU_138	371	308	398	377	336	272	260	192
OTU_139	47	36	66	64	43	77	27	52
OTU_140	19	26	24	15	7	4	4	9
OTU_141	20	41	11	11	25	48	22	18
OTU_142	29	29	21	27	9	15	18	19
OTU_143	52	44	41	50	12	3	11	10
OTU_144	93	121	84	132	50	128	103	130
OTU_145	17	13	27	21	19	37	30	46
OTU_146	11	10	16	10	7	10	5	8
OTU_147	130	206	165	261	43	119	89	111
OTU_148	23	24	29	18	102	80	75	80
OTU_149	16	16	27	19	5	10	11	5
OTU_150	26	52	44	37	91	65	132	59
OTU_151	19	26	23	32	18	12	30	35
OTU_152	47	23	33	38	18	21	32	30
OTU_153	10	16	19	24	11	13	18	5
OTU_154	82	64	91	91	117	126	100	155
OTU_155	30	27	49	33	50	27	42	27
OTU_156	44	38	58	30	37	22	27	15
OTU_157	78	485	132	302	18	37	43	30
OTU_158	48	57	51	70	80	33	48	71
OTU_159	66	41	41	43	100	121	86	89
OTU_160	17	10	13	5	7	5	10	8
OTU_161	30	38	32	29	94	71	125	103
OTU_162	15	23	20	19	8	11	8	7
OTU_163	20	10	10	2	8	8	16	15
OTU_164	7	7	7	7	5	5	19	12
OTU_165	0	0	0	1	1	10	1	3
OTU_166	29	50	35	41	33	28	35	17
OTU_167	8	75	1	7	21	263	30	41
OTU_168	11	13	9	14	3	1	0	2
OTU_169	1	7	0	1	10	8	5	11
OTU_170	22	27	24	22	13	5	7	4
OTU_171	38	24	27	21	18	27	22	22
OTU_172	18	16	24	9	3	7	5	2
OTU_173	21	21	22	16	8	7	7	5
OTU_174	4	14	4	19	5	0	3	3
OTU_175	29	33	44	38	9	7	13	11
OTU_176	11	14	24	11	48	38	33	74
OTU_177	27	61	32	37	32	30	24	33
OTU_178	16	18	10	8	13	7	26	1
OTU_179	37	13	21	15	4	5	8	16
OTU_180	79	48	61	77	37	29	70	38
OTU_181	35	19	25	24	59	51	40	19
OTU_182	28	5	19	5	155	132	52	105
OTU_183	11	19	32	18	9	14	11	7
OTU_184	27	35	21	23	30	30	10	21
OTU_185	15	8	22	16	372	82	17	16
OTU_186	8	22	19	23	13	12	43	14
OTU_187	47	63	57	40	61	34	40	52
OTU_188	68	64	54	110	77	46	52	73
OTU_189	10	25	19	0	8	3	0	2
OTU_190	77	51	77	77	57	64	50	47
OTU_191	49	44	50	41	46	48	52	40
OTU_192	19	13	11	14	9	14	14	3
OTU_193	37	22	38	29	1	8	11	2
OTU_194	1	29	0	0	1	98	1	5
OTU_195	0	3	1	0	6	10	3	3
OTU_196	15	24	25	27	3	11	7	10
OTU_197	19	35	33	24	38	22	41	30
OTU_198	20	22	16	20	7	7	11	5
OTU_199	77	77	114	162	63	57	57	68
OTU_200	24	13	16	18	48	45	67	52
OTU_201	27	21	23	15	29	13	30	8
OTU_202	0	3	1	2	9	11	5	5
OTU_203	50	77	64	58	35	35	43	35
OTU_204	55	80	57	112	24	32	44	55
OTU_205	54	44	41	35	24	50	64	77
OTU_206	59	45	87	48	18	25	30	12
OTU_207	30	47	30	27	4	11	20	18
OTU_208	0	5	0	0	0	0	0	0
OTU_209	29	20	32	58	74	68	85	70
OTU_210	40	38	32	36	66	50	49	42
OTU_211	30	35	94	50	11	8	5	5
OTU_212	30	22	22	22	64	50	38	22
OTU_213	19	28	15	10	9	13	19	20
OTU_214	8	21	32	13	0	0	1	0
OTU_215	43	25	29	24	107	95	148	105
OTU_216	5	7	10	5	4	7	4	4
OTU_217	7	11	21	16	1	7	9	4
OTU_218	64	61	26	80	15	48	41	82
OTU_219	50	24	33	29	44	26	39	38
OTU_220	19	12	16	15	41	30	49	49
OTU_221	58	40	63	43	16	63	57	50
OTU_222	26	13	15	15	54	28	25	21
OTU_223	0	1	0	1	1	3	1	10
OTU_224	44	38	30	15	54	54	52	44
OTU_225	76	46	54	45	52	35	30	99
OTU_226	18	18	30	21	7	11	10	8
OTU_227	3	3	1	1	1	4	1	0
OTU_228	27	20	22	16	43	22	35	29
OTU_229	37	43	37	33	23	24	40	54
OTU_230	28	13	16	10	60	44	57	34
OTU_231	10	4	4	5	4	1	19	5
OTU_232	5	4	4	7	8	13	24	15
OTU_233	80	84	80	95	186	125	100	85
OTU_234	0	1	0	0	11	8	3	2
OTU_235	45	25	30	35	64	63	56	75
OTU_236	0	0	0	0	3	4	7	3
OTU_237	31	32	36	37	109	55	63	39
OTU_238	4	4	1	3	3	3	2	0
OTU_239	18	21	11	5	63	84	29	19
OTU_240	82	120	125	61	55	50	24	41
OTU_241	21	10	11	66	27	18	50	80
OTU_242	6	8	3	5	2	0	0	0
OTU_243	119	66	114	72	46	43	47	48
OTU_244	71	46	132	98	49	33	37	32
OTU_245	59	11	71	30	206	51	62	93
OTU_246	0	1	0	0	0	0	3	0
OTU_247	0	1	0	0	1	0	0	3
OTU_248	73	64	33	75	70	122	81	77
OTU_249	1	1	3	3	7	50	10	5
OTU_250	0	2	0	4	1	11	2	5
OTU_251	33	33	34	64	70	40	32	32
OTU_252	35	25	21	40	38	27	21	31
OTU_253	13	23	40	13	1	11	3	4
OTU_254	111	119	80	139	41	50	57	78
OTU_255	25	25	17	30	15	18	25	21
OTU_256	4	5	11	5	10	7	10	8
OTU_257	78	35	40	70	40	15	22	59
OTU_258	50	48	59	62	24	44	54	35
OTU_259	61	35	87	68	18	10	24	14
OTU_260	35	77	40	8	21	21	4	27
OTU_261	8	1	16	4	7	14	5	11
OTU_262	34	32	38	14	63	29	18	13
OTU_263	35	32	52	33	38	24	57	66
OTU_264	3	4	2	2	1	1	4	8
OTU_265	8	8	10	9	8	10	8	7
OTU_266	37	31	33	23	27	11	8	13
OTU_267	11	8	11	4	7	13	12	7
OTU_268	53	38	63	59	52	33	43	57
OTU_269	5	7	13	7	7	7	7	1
OTU_270	1	0	1	0	3	2	3	5
OTU_271	152	105	150	100	112	82	71	64
OTU_272	13	5	16	2	29	50	50	30
OTU_273	27	33	30	37	8	10	16	5
OTU_274	21	19	29	22	3	3	4	3
OTU_275	8	82	5	11	8	14	6	11
OTU_276	116	103	128	64	91	98	60	52
OTU_277	54	50	61	44	3	5	7	13
OTU_278	15	16	13	12	64	11	13	6
OTU_279	20	11	13	14	7	7	11	8
OTU_280	3	61	0	0	5	44	5	4
OTU_281	3	4	3	1	3	7	5	1
OTU_282	30	158	46	15	44	192	42	68
OTU_283	12	22	11	11	33	39	30	25
OTU_284	54	49	44	55	25	32	33	36
OTU_285	18	20	23	35	30	24	19	5
OTU_286	13	25	21	7	7	22	33	16
OTU_287	9	16	35	6	7	11	7	11
OTU_288	10	11	11	9	14	3	5	6
OTU_289	13	11	11	18	33	35	35	47
OTU_290	19	22	18	11	3	0	5	8
OTU_291	21	11	20	13	82	40	40	21
OTU_292	79	84	82	99	54	52	78	72
OTU_293	13	10	30	17	8	8	8	5
OTU_294	22	30	40	18	4	3	3	5
OTU_295	44	32	34	23	14	13	21	9
OTU_296	55	81	44	94	21	35	38	48
OTU_297	29	49	73	60	66	44	68	107
OTU_298	54	41	35	41	17	13	23	28
OTU_299	21	29	30	18	11	27	13	45
OTU_300	61	73	40	57	35	30	28	46
OTU_301	5	5	4	1	3	3	0	3
OTU_302	37	46	45	45	15	18	24	22
OTU_303	30	46	27	54	20	32	66	34
OTU_304	0	1	3	3	10	7	7	3
OTU_305	44	48	59	77	27	22	19	28
OTU_306	29	18	13	12	11	17	12	35
OTU_307	22	19	16	13	24	15	14	11
OTU_308	4	6	7	10	35	39	38	48
OTU_309	8	8	21	7	16	13	7	12
OTU_310	40	30	61	46	16	13	21	19
OTU_311	61	29	13	11	54	57	35	63
OTU_312	3	3	2	0	4	18	3	5
OTU_313	10	35	16	28	7	3	0	4
OTU_314	33	21	32	32	11	37	19	32
OTU_315	1	0	5	5	4	3	2	5
OTU_316	30	35	48	22	10	5	5	5
OTU_317	27	35	35	15	16	11	22	25
OTU_318	5	18	15	6	5	5	6	5
OTU_319	365	24	35	15	4	7	7	9
OTU_320	14	16	22	7	21	27	11	10
OTU_321	19	10	11	13	6	7	7	8
OTU_322	8	4	12	7	4	1	5	15
OTU_323	11	8	21	12	3	1	4	1
OTU_324	4	0	4	0	2	3	2	3
OTU_325	21	16	13	14	1	1	4	0
OTU_326	0	2	4	8	4	3	4	0
OTU_327	18	22	23	15	33	25	24	27
OTU_328	22	44	25	67	18	37	11	21
OTU_329	19	33	13	23	2	1	3	2
OTU_330	27	21	19	29	27	22	45	35
OTU_331	2	8	2	5	3	3	3	6
OTU_332	21	18	30	16	36	34	27	22
OTU_333	50	21	44	36	44	22	20	40
OTU_334	27	35	24	24	66	33	64	39
OTU_335	0	3	4	3	5	12	27	11
OTU_336	61	32	64	61	53	64	86	58
OTU_337	29	17	19	21	35	54	37	41
OTU_338	10	16	3	8	24	11	22	24
OTU_339	7	24	15	8	10	43	11	17
OTU_340	24	40	35	49	16	16	15	8
OTU_341	50	50	38	43	33	44	50	24
OTU_342	25	26	18	34	25	21	20	24
OTU_343	16	22	24	20	3	10	12	4
OTU_344	3	3	1	6	4	3	9	3
OTU_345	22	41	36	24	5	5	6	5
OTU_346	5	8	11	5	5	1	3	4
OTU_347	2	3	11	5	54	5	11	3
OTU_348	16	16	10	13	32	22	30	28
OTU_349	33	35	24	71	24	32	32	51
OTU_350	8	1	4	3	3	5	10	3
OTU_351	27	29	37	22	7	4	10	4
OTU_352	27	38	33	91	22	30	26	32
OTU_353	1	5	1	1	7	3	10	25
OTU_354	30	35	33	26	32	33	19	16
OTU_355	29	24	24	22	11	19	25	27
OTU_356	5	3	4	5	1	6	7	5
OTU_357	3	8	4	5	25	27	18	11
OTU_358	7	8	15	10	17	11	16	19
OTU_359	4	32	3	11	1	1	0	3
OTU_360	5	4	8	3	24	10	21	24
OTU_361	17	24	11	22	21	12	37	13
OTU_362	10	15	7	12	5	8	5	5
OTU_363	0	3	5	0	0	3	1	3
OTU_364	17	16	25	5	22	41	21	15
OTU_365	0	5	0	0	3	43	1	0
OTU_366	1	4	2	3	3	8	5	0
OTU_367	50	41	57	48	37	26	31	27
OTU_368	0	0	0	0	4	1	0	2
OTU_369	3	0	6	3	1	0	1	0
OTU_370	21	19	24	27	22	14	19	21
OTU_371	21	18	7	13	32	32	21	27
OTU_372	39	39	25	38	44	52	75	44
OTU_373	8	13	11	13	7	8	5	5
OTU_374	15	10	15	16	12	18	27	13
OTU_375	68	45	46	60	38	26	16	32
OTU_376	29	27	19	43	35	38	33	19
OTU_377	5	0	5	3	7	3	5	4
OTU_378	10	12	13	7	8	2	0	18
OTU_379	21	13	27	37	25	22	16	35
OTU_380	13	8	23	36	14	16	22	16
OTU_381	11	5	10	7	197	76	27	19
OTU_382	48	47	41	37	73	38	46	33
OTU_383	2	0	4	1	4	5	6	4
OTU_384	54	29	62	19	27	16	22	19
OTU_385	20	30	33	29	12	10	10	19
OTU_386	38	21	22	19	16	29	10	13
OTU_387	42	27	40	30	19	13	21	13
OTU_388	18	32	34	25	10	7	6	0
OTU_389	21	16	26	54	16	16	22	21
OTU_390	26	21	20	52	10	18	15	26
OTU_391	16	16	17	11	4	6	8	3
OTU_392	4	18	0	2	1	3	0	2
OTU_393	1	1	6	1	0	3	1	4
OTU_394	57	40	59	39	9	11	13	13
OTU_395	11	18	8	13	0	0	0	0
OTU_396	11	10	5	13	15	18	15	13
OTU_397	35	32	27	51	22	23	27	36
OTU_398	0	0	0	1	2	5	3	1
OTU_399	11	21	16	29	13	8	3	10
OTU_400	16	7	9	8	27	10	16	24
OTU_401	24	24	26	15	16	24	8	13
OTU_402	35	24	27	37	30	18	26	8
OTU_403	29	20	18	16	30	27	64	32
OTU_404	34	24	24	29	35	33	35	26
OTU_405	61	40	52	35	16	21	11	25
OTU_406	10	4	5	5	1	8	6	5
OTU_407	3	7	3	7	5	3	16	5
OTU_408	14	13	10	13	3	4	1	0
OTU_409	16	11	16	8	9	7	6	2
OTU_410	7	8	8	8	7	1	9	5
OTU_411	19	8	15	15	5	11	6	14
OTU_412	5	17	3	5	10	10	4	1
OTU_413	8	5	5	6	7	5	13	6
OTU_414	8	15	10	14	4	1	7	5
OTU_415	11	13	11	13	70	60	38	29
OTU_416	24	8	24	19	0	2	2	0
OTU_417	10	11	10	19	11	14	28	10
OTU_418	27	15	15	16	16	27	22	12
OTU_419	29	8	30	27	7	7	22	10
OTU_420	7	13	15	10	3	4	5	1
OTU_421	1	0	0	0	0	0	0	0
OTU_422	6	4	3	7	4	2	5	5
OTU_423	15	24	21	30	4	4	5	7
OTU_424	0	3	0	0	4	0	1	1
OTU_425	5	7	18	13	4	3	5	5
OTU_426	3	5	1	4	4	17	4	5
OTU_427	7	3	10	4	6	6	8	9
OTU_428	5	18	8	13	1	1	4	1
OTU_429	27	18	36	27	32	17	24	20
OTU_430	13	18	9	10	1	7	3	3
OTU_431	49	24	37	23	46	22	27	19
OTU_432	54	38	46	60	67	88	89	73
OTU_433	10	5	7	4	9	11	8	3
OTU_434	11	5	7	7	10	27	38	22
OTU_435	22	7	10	7	14	13	18	21
OTU_436	10	8	8	15	16	20	19	7
OTU_437	0	1	0	0	0	0	0	0
OTU_438	46	50	37	40	50	66	57	100
OTU_439	5	15	11	3	1	4	8	1
OTU_440	0	0	5	1	1	3	4	4
OTU_441	22	13	16	10	61	19	26	30
OTU_442	22	24	21	19	39	15	23	16
OTU_443	26	16	29	41	19	14	22	19
OTU_444	5	13	9	10	15	15	19	18
OTU_445	1	4	0	15	6	3	12	4
OTU_446	39	53	62	57	11	5	4	10
OTU_447	0	1	7	1	1	4	4	3
OTU_448	0	0	0	0	0	0	0	0
OTU_449	3	7	16	5	1	0	4	1
OTU_450	0	0	0	0	0	0	0	0
OTU_451	3	1	1	0	1	2	13	5
OTU_452	3	5	7	6	11	5	12	13
OTU_453	16	19	19	21	29	10	13	8
OTU_454	16	7	14	15	11	21	19	4
OTU_455	52	19	33	38	55	43	35	38
OTU_456	98	139	86	116	90	114	94	162
OTU_457	47	31	55	41	10	12	13	7
OTU_458	5	7	13	13	3	9	1	1
OTU_459	4	3	1	5	1	3	8	7
OTU_460	1	8	4	8	8	5	7	4
OTU_461	2	7	12	9	0	0	0	0
OTU_462	5	6	4	3	0	0	3	0
OTU_463	19	19	15	46	36	43	47	40
OTU_464	15	14	18	10	7	1	1	3
OTU_465	54	30	34	37	80	57	59	51
OTU_466	1	4	1	1	15	71	8	3
OTU_467	5	5	11	5	4	7	3	1
OTU_468	5	3	5	3	0	3	3	0
OTU_469	0	3	0	3	4	1	0	5
OTU_470	5	12	22	2	1	5	5	2
OTU_471	66	57	63	61	75	35	64	87
OTU_472	39	38	40	54	40	102	98	80
OTU_473	90	142	116	94	21	33	25	25
OTU_474	0	13	5	4	4	2	0	0
OTU_475	16	22	32	26	8	5	4	8
OTU_476	2	8	1	8	4	4	5	1
OTU_477	0	0	0	0	0	0	0	0
OTU_478	0	4	0	0	2	0	1	0
OTU_479	4	4	8	4	4	13	10	9
OTU_480	13	7	10	4	24	22	20	11
OTU_481	48	55	32	37	11	23	14	7
OTU_482	42	52	71	33	24	29	24	33
OTU_483	3	4	8	4	1	2	5	0
OTU_484	10	5	7	9	3	2	1	4
OTU_485	10	5	4	7	32	30	29	22
OTU_486	24	24	24	32	43	29	44	32
OTU_487	0	2	2	1	1	1	0	1
OTU_488	8	11	10	8	11	7	7	5
OTU_489	0	0	0	1	0	7	7	4
OTU_490	43	28	43	30	18	19	11	11
OTU_491	24	7	16	10	11	19	11	10
OTU_492	1	0	0	1	0	4	5	4
OTU_493	0	0	0	0	0	0	0	0
OTU_494	2	1	1	0	0	3	4	1
OTU_495	10	13	7	24	11	27	22	29
OTU_496	19	12	8	13	22	41	22	29
OTU_497	19	12	13	12	5	8	5	1
OTU_498	19	17	16	10	25	13	16	13
OTU_499	10	13	13	7	12	5	8	8
OTU_500	13	12	16	8	3	9	3	3
OTU_501	10	14	16	15	7	8	11	3
OTU_502	1	15	8	2	4	0	0	1
OTU_503	8	15	11	10	10	11	13	7
OTU_504	0	0	1	0	0	3	0	2
OTU_505	6	9	8	15	8	11	19	22
OTU_506	4	6	9	10	7	30	11	13
OTU_507	19	22	29	18	21	9	8	17
OTU_508	13	5	5	3	16	10	14	22
OTU_509	8	10	4	2	8	4	11	3
OTU_510	23	29	19	21	16	25	16	43
OTU_511	31	27	22	32	27	19	21	18
OTU_512	0	2	0	0	0	1	0	3
OTU_513	5	3	10	5	2	3	2	0
OTU_514	5	5	4	5	19	15	11	8
OTU_515	5	7	3	5	5	4	7	9
OTU_516	0	0	1	3	2	3	1	3
OTU_517	3	3	2	6	5	7	12	10
OTU_518	36	34	37	33	12	10	12	16
OTU_519	5	5	4	3	0	0	2	1
OTU_520	12	15	13	10	16	26	5	11
OTU_521	2	1	5	1	2	6	7	1
OTU_522	4	5	12	8	0	1	4	1
OTU_523	34	13	29	11	75	53	75	75
OTU_524	29	11	24	15	15	5	10	28
OTU_525	14	11	11	13	24	27	24	10
OTU_526	13	12	15	10	4	7	7	3
OTU_527	1	0	5	1	1	0	2	1
OTU_528	3	3	5	1	1	6	7	3
OTU_529	0	0	0	0	0	0	0	0
OTU_530	3	1	1	3	1	4	5	0
OTU_531	5	16	15	15	11	8	10	6
OTU_532	11	22	16	20	23	11	5	13
OTU_533	12	6	13	1	2	1	3	1
OTU_534	4	8	12	10	7	7	11	1
OTU_535	245	231	258	127	396	502	455	403
OTU_536	0	0	4	1	4	3	5	5
OTU_537	35	44	21	23	57	70	73	41
OTU_538	11	16	9	8	4	4	5	3
OTU_539	1	3	1	0	1	0	0	0
OTU_540	13	11	4	7	1	1	5	5
OTU_541	34	35	32	45	41	40	38	35
OTU_542	98	110	91	105	84	59	44	82
OTU_543	27	11	16	41	25	18	5	8
OTU_544	3	1	4	3	1	1	1	3
OTU_545	8	6	11	4	5	1	1	1
OTU_546	13	5	3	4	1	2	5	4
OTU_547	26	18	22	14	21	25	18	19
OTU_548	48	24	32	16	12	4	2	3
OTU_549	18	19	10	5	16	7	5	10
OTU_550	1	3	4	0	1	1	1	0
OTU_551	77	64	22	38	4	13	3	4
OTU_552	24	28	16	29	34	24	29	52
OTU_553	37	35	33	40	71	94	83	103
OTU_554	16	8	8	7	11	13	13	10
OTU_555	11	7	3	6	33	22	38	29
OTU_556	6	3	1	1	3	5	5	5
OTU_557	11	11	12	22	5	8	8	5
OTU_558	0	1	4	1	2	1	5	3
OTU_559	15	19	15	16	7	1	5	20
OTU_560	3	3	5	1	2	2	3	1
OTU_561	8	13	15	5	5	1	5	4
OTU_562	3	7	7	4	1	3	1	4
OTU_563	2	1	1	1	1	2	1	0
OTU_564	6	7	4	10	11	9	13	8
OTU_565	11	6	4	4	15	6	8	21
OTU_566	0	1	0	7	0	1	3	6
OTU_567	22	27	11	19	17	35	23	26
OTU_568	1	4	2	2	2	1	0	3
OTU_569	37	21	46	37	71	44	18	19
OTU_570	13	5	11	13	5	3	4	8
OTU_571	8	27	18	33	0	2	5	1
OTU_572	3	3	7	0	1	3	3	6
OTU_573	7	10	6	11	4	1	1	1
OTU_574	0	0	1	1	2	1	5	3
OTU_575	2	5	6	2	5	0	3	3
OTU_576	14	16	8	13	11	12	19	15
OTU_577	10	10	12	15	5	3	7	0
OTU_578	32	50	19	27	52	44	55	35
OTU_579	3	4	7	5	4	4	4	3
OTU_580	3	8	7	5	26	16	13	15
OTU_581	5	2	4	5	0	0	3	0
OTU_582	19	7	9	5	11	13	15	10
OTU_583	3	1	1	0	5	5	8	5
OTU_584	12	7	0	3	18	24	19	7
OTU_585	6	7	5	5	5	4	13	2
OTU_586	0	0	0	0	0	0	0	0
OTU_587	3	8	2	5	5	11	1	1
OTU_588	1	0	0	0	0	0	0	0
OTU_589	19	29	30	51	4	3	10	11
OTU_590	4	8	1	7	2	1	2	4
OTU_591	5	4	11	7	1	0	1	0
OTU_592	57	16	18	22	21	16	10	105
OTU_593	7	3	5	3	0	3	4	3
OTU_594	11	10	4	3	19	15	19	8
OTU_595	4	11	8	11	4	1	4	8
OTU_596	3	0	1	3	0	3	3	0
OTU_597	1	4	5	5	0	4	0	0
OTU_598	21	12	22	15	36	23	15	15
OTU_599	0	0	0	0	0	0	0	0
OTU_600	0	0	0	0	0	0	1	1
OTU_601	3	8	5	1	3	0	2	1
OTU_602	6	3	5	3	26	5	16	6
OTU_603	1	1	3	2	1	0	0	0
OTU_604	11	13	5	18	4	13	18	48
OTU_605	55	7	27	63	27	16	16	103
OTU_606	12	10	15	27	5	3	3	7
OTU_607	9	4	7	6	37	38	48	30
OTU_608	0	0	3	1	2	4	3	0
OTU_609	15	7	16	35	18	18	17	26
OTU_610	0	0	0	0	3	3	1	1
OTU_611	1	0	1	3	0	0	0	3
OTU_612	0	0	0	0	0	0	0	0
OTU_613	5	7	7	18	8	7	2	4
OTU_614	1	4	3	0	3	4	3	3
OTU_615	28	20	27	18	8	5	11	16
OTU_616	1	6	10	0	2	1	5	8
OTU_617	5	7	3	5	3	5	5	6
OTU_618	4	4	11	5	11	9	5	1
OTU_619	0	1	0	3	1	3	3	3
OTU_620	3	0	0	0	0	0	0	0
OTU_621	0	0	0	0	0	0	0	0
OTU_622	5	10	9	7	1	1	2	2
OTU_623	0	0	0	0	0	0	0	0
OTU_624	11	22	15	20	19	19	13	10
OTU_625	0	8	3	3	3	3	1	1
OTU_626	5	30	19	19	13	1	3	3
OTU_627	19	11	19	5	3	3	7	1
OTU_628	19	8	16	13	21	35	37	38
OTU_629	1	1	3	0	1	2	5	0
