#OTU_num	T.T3CK.1	T.T3CK.2	T.T3CK.3	T.T3CK.4	T.T3B.1	T.T3B.2	T.T3B.3	T.T3B.4
OTU_163	11	3	19	13	7	7	11	5
OTU_164	16	8	13	11	13	11	40	5
OTU_165	16	10	16	0	0	0	0	0
OTU_166	27	41	30	41	47	90	66	96
OTU_167	43	21	24	4	4	7	8	2
OTU_168	16	11	5	13	7	16	25	30
OTU_169	1	8	0	15	0	0	4	0
OTU_170	49	48	44	18	16	17	19	29
OTU_171	40	26	35	30	64	52	47	39
OTU_172	19	15	19	21	16	23	17	30
OTU_173	20	27	24	35	1	13	7	13
OTU_174	10	12	10	12	13	12	7	3
OTU_175	46	50	47	54	27	19	22	27
OTU_176	30	21	22	22	53	68	37	59
OTU_177	37	30	22	22	96	41	28	73
OTU_178	10	17	11	8	21	46	71	22
OTU_179	8	15	39	13	3	4	21	2
OTU_180	36	119	89	72	35	27	22	19
OTU_181	27	27	29	40	70	68	89	160
OTU_182	10	8	8	7	8	27	18	13
OTU_183	57	41	44	30	8	13	16	8
OTU_184	38	73	27	48	33	32	66	27
OTU_185	40	19	29	22	38	184	30	171
OTU_186	11	52	16	135	38	27	68	24
OTU_187	46	77	59	85	53	30	41	22
OTU_188	6	8	19	11	24	5	4	2
OTU_189	135	14	5	24	7	1	3	9
OTU_190	29	44	59	50	34	22	37	32
OTU_191	35	71	43	63	59	47	28	35
OTU_192	16	11	24	11	14	8	13	5
OTU_193	7	235	29	22	48	27	14	15
OTU_194	0	1	3	0	0	0	0	0
OTU_195	1	2	1	2	0	1	5	2
OTU_196	61	38	41	56	16	24	21	21
OTU_197	21	24	25	44	36	28	47	22
OTU_198	30	35	27	41	11	11	7	8
OTU_199	56	97	71	47	80	82	100	88
OTU_200	27	22	27	25	68	58	38	63
OTU_201	52	35	29	38	33	41	26	27
OTU_202	0	6	0	2	4	1	1	1
OTU_203	46	66	39	43	22	15	19	28
OTU_204	43	100	54	55	42	53	41	59
OTU_205	56	64	38	45	62	78	48	75
OTU_206	168	112	166	82	56	41	39	64
OTU_207	87	44	57	66	64	39	60	52
OTU_208	3	7	1	0	0	0	0	0
OTU_209	18	20	22	27	22	29	30	38
OTU_210	28	42	23	30	58	59	57	58
OTU_211	29	33	38	46	15	7	5	8
OTU_212	26	37	18	21	60	43	43	43
OTU_213	27	15	22	23	84	50	68	68
OTU_214	46	11	55	32	15	16	8	22
OTU_215	55	46	47	37	47	71	71	66
OTU_216	21	11	11	10	10	8	3	8
OTU_217	48	19	43	53	24	10	13	16
OTU_218	30	38	22	23	15	33	15	25
OTU_219	27	36	44	43	47	24	33	37
OTU_220	37	14	19	15	16	16	33	29
OTU_221	58	91	93	106	84	77	80	98
OTU_222	22	26	33	38	33	15	15	15
OTU_223	1	16	0	7	1	3	3	2
OTU_224	36	27	43	28	29	51	59	27
OTU_225	1	3	3	3	3	0	3	3
OTU_226	40	30	29	40	16	9	10	10
OTU_227	1	1	0	4	0	1	2	1
OTU_228	19	16	27	24	40	18	15	24
OTU_229	17	27	25	24	35	25	33	38
OTU_230	33	15	30	13	61	38	50	16
OTU_231	7	5	4	4	7	5	14	25
OTU_232	0	5	5	3	11	3	13	10
OTU_233	134	70	80	99	103	107	92	64
OTU_234	0	0	0	4	1	1	0	0
OTU_235	33	27	19	33	59	40	69	63
OTU_236	0	0	0	0	1	5	11	0
OTU_237	37	45	42	38	82	148	116	150
OTU_238	2	0	3	4	8	3	3	0
OTU_239	10	10	13	7	14	33	42	46
OTU_240	19	168	70	89	26	8	19	19
OTU_241	5	16	2	8	7	8	12	24
OTU_242	19	9	13	11	5	24	13	19
OTU_243	24	81	98	102	27	25	42	24
OTU_244	5	17	16	24	8	3	8	9
OTU_245	2	0	1	0	2	0	1	1
OTU_246	0	1	0	0	3	0	0	3
OTU_247	0	0	0	0	0	0	0	0
OTU_248	32	30	35	21	33	39	35	35
OTU_249	5	1	3	2	4	9	3	7
OTU_250	5	0	0	0	0	0	0	0
OTU_251	43	59	38	43	23	11	23	9
OTU_252	10	28	37	48	7	19	23	13
OTU_253	28	17	45	24	7	10	11	5
OTU_254	35	87	74	85	37	47	29	44
OTU_255	8	21	20	26	13	24	7	24
OTU_256	24	18	30	19	1	5	7	3
OTU_257	19	3	19	10	5	3	5	3
OTU_258	69	84	91	63	54	48	50	32
OTU_259	46	67	112	86	26	24	28	19
OTU_260	63	44	15	73	11	11	13	11
OTU_261	18	18	24	16	4	3	0	2
OTU_262	43	24	32	9	23	10	9	11
OTU_263	10	33	43	40	25	18	22	29
OTU_264	4	4	5	2	0	1	3	3
OTU_265	10	10	12	14	4	7	7	5
OTU_266	35	40	61	24	19	22	13	13
OTU_267	32	21	26	24	15	13	6	3
OTU_268	15	22	24	22	30	21	15	16
OTU_269	41	7	11	10	19	30	11	24
OTU_270	5	0	5	0	1	0	3	0
OTU_271	148	123	162	109	81	59	56	53
OTU_272	6	4	4	3	4	7	7	6
OTU_273	25	31	46	23	10	8	6	8
OTU_274	38	43	26	22	10	5	3	10
OTU_275	3	4	0	0	0	0	1	3
OTU_276	70	74	112	59	45	28	18	19
OTU_277	50	64	91	180	14	13	13	13
OTU_278	27	24	21	13	29	30	18	10
OTU_279	38	23	41	27	13	8	9	7
OTU_280	0	0	1	0	0	0	0	0
OTU_281	5	8	10	11	4	5	4	3
OTU_282	7	8	19	5	11	5	6	15
OTU_283	24	21	11	22	57	63	40	44
OTU_284	57	38	59	43	66	46	25	43
OTU_285	15	27	24	11	16	15	8	7
OTU_286	41	44	22	24	46	44	89	31
OTU_287	2	1	3	7	9	5	8	8
OTU_288	38	19	29	20	18	10	11	6
OTU_289	13	11	15	10	27	50	27	82
OTU_290	109	33	47	24	24	19	27	18
OTU_291	24	21	37	23	70	82	97	70
OTU_292	40	86	100	84	63	63	68	56
OTU_293	35	18	33	25	8	5	7	13
OTU_294	44	28	45	33	15	16	15	19
OTU_295	13	26	22	15	13	1	7	8
OTU_296	27	22	33	22	20	32	11	27
OTU_297	3	6	7	24	1	1	4	5
OTU_298	65	66	76	70	30	15	21	26
OTU_299	36	28	33	36	29	46	29	62
OTU_300	30	30	33	32	15	18	18	13
OTU_301	9	7	2	2	9	3	4	3
OTU_302	32	72	40	77	24	24	27	18
OTU_303	24	33	37	30	29	30	47	29
OTU_304	61	45	111	31	13	11	11	15
OTU_305	3	16	24	27	11	3	5	4
OTU_306	7	18	8	4	15	21	10	28
OTU_307	23	22	19	18	52	41	29	40
OTU_308	33	59	45	54	48	54	57	109
OTU_309	19	10	16	11	11	8	10	5
OTU_310	48	52	86	30	28	8	22	13
OTU_311	0	0	1	1	3	2	1	1
OTU_312	4	3	3	0	10	21	13	7
OTU_313	54	56	38	41	7	13	8	12
OTU_314	11	45	19	12	19	10	18	16
OTU_315	7	2	5	0	8	4	6	10
OTU_316	33	99	112	84	14	14	7	23
OTU_317	37	27	27	20	10	19	22	17
OTU_318	16	11	8	5	21	16	11	16
OTU_319	240	32	32	19	15	16	13	9
OTU_320	11	10	22	15	13	10	20	16
OTU_321	30	32	44	30	13	11	10	8
OTU_322	4	4	4	5	21	17	8	16
OTU_323	11	11	22	7	4	3	0	3
OTU_324	8	7	5	2	3	0	3	1
OTU_325	20	32	29	24	10	7	10	5
OTU_326	4	0	7	4	3	4	5	3
OTU_327	10	29	16	35	17	20	13	18
OTU_328	10	13	8	4	7	5	4	9
OTU_329	24	44	43	19	8	13	10	13
OTU_330	21	25	26	24	22	20	29	28
OTU_331	4	5	5	8	5	5	7	9
OTU_332	15	30	24	33	19	21	19	16
OTU_333	4	4	5	6	4	7	4	3
OTU_334	27	27	36	25	24	11	28	18
OTU_335	7	5	0	2	8	20	24	5
OTU_336	8	18	20	35	9	5	13	4
OTU_337	11	15	11	1	10	5	5	3
OTU_338	5	4	8	11	37	24	13	29
OTU_339	13	15	10	46	10	15	24	19
OTU_340	30	36	47	29	16	10	13	8
OTU_341	22	19	18	11	18	14	18	8
OTU_342	5	35	28	35	17	16	7	13
OTU_343	25	29	41	30	10	10	2	16
OTU_344	2	1	3	0	1	8	3	1
OTU_345	35	31	29	37	13	7	12	8
OTU_346	19	20	11	16	6	4	10	3
OTU_347	3	0	4	2	4	16	24	4
OTU_348	15	19	13	21	25	47	15	29
OTU_349	13	40	25	16	20	24	9	19
OTU_350	3	4	4	5	6	1	5	4
OTU_351	43	26	28	27	16	11	13	15
OTU_352	35	47	40	42	23	32	24	19
OTU_353	1	2	0	1	1	0	8	1
OTU_354	23	16	19	21	8	5	9	9
OTU_355	41	62	48	59	43	38	33	66
OTU_356	5	3	4	10	8	5	28	11
OTU_357	7	8	6	7	20	35	11	24
OTU_358	21	8	22	34	27	16	21	16
OTU_359	23	82	15	35	8	18	7	6
OTU_360	5	9	21	6	4	5	1	6
OTU_361	18	26	15	15	33	32	48	42
OTU_362	19	24	22	16	10	8	7	9
OTU_363	8	7	3	2	4	1	6	1
OTU_364	4	15	22	18	7	4	10	5
OTU_365	0	0	0	0	0	0	0	0
OTU_366	3	1	1	4	3	2	1	1
OTU_367	54	63	61	38	44	44	39	24
OTU_368	0	0	0	0	0	0	0	1
OTU_369	0	15	0	5	3	11	16	5
OTU_370	11	23	16	11	10	10	5	8
OTU_371	8	12	10	10	10	5	8	10
OTU_372	11	26	33	18	16	20	19	16
OTU_373	15	12	10	11	5	5	7	10
OTU_374	4	5	8	11	8	7	7	5
OTU_375	0	1	0	0	0	0	0	0
OTU_376	27	35	19	16	15	11	10	10
OTU_377	8	7	4	5	10	4	5	6
OTU_378	0	1	5	5	2	13	10	16
OTU_379	3	10	15	16	5	4	4	5
OTU_380	24	16	13	16	33	15	27	41
OTU_381	24	19	24	8	62	35	66	26
OTU_382	33	29	53	33	40	31	34	41
OTU_383	1	0	1	1	1	2	0	8
OTU_384	24	24	40	27	7	5	16	14
OTU_385	32	30	43	40	33	18	20	40
OTU_386	23	27	21	25	21	16	15	22
OTU_387	32	30	46	14	18	11	15	15
OTU_388	27	44	38	48	11	10	7	11
OTU_389	8	15	21	8	5	5	11	13
OTU_390	4	29	11	8	15	5	4	5
OTU_391	37	21	36	7	10	13	8	9
OTU_392	0	0	0	0	0	0	0	0
OTU_393	0	0	0	0	3	3	4	4
OTU_394	13	17	52	32	12	4	8	10
OTU_395	64	48	47	18	7	11	5	13
OTU_396	11	9	8	13	16	26	19	27
OTU_397	27	61	58	41	55	37	35	29
OTU_398	1	8	3	1	1	2	0	0
OTU_399	1	0	0	3	0	0	3	1
OTU_400	2	19	8	5	1	1	3	1
OTU_401	39	18	22	22	27	71	36	38
OTU_402	35	22	19	10	15	19	15	18
OTU_403	8	23	35	27	9	10	17	13
OTU_404	7	13	13	7	28	13	7	14
OTU_405	6	18	29	32	9	5	13	7
OTU_406	7	12	13	7	3	2	4	1
OTU_407	1	5	10	8	8	21	30	21
OTU_408	16	19	20	4	5	5	5	6
OTU_409	22	15	5	8	16	24	13	16
OTU_410	27	25	25	30	7	10	7	10
OTU_411	14	7	13	8	15	16	15	9
OTU_412	4	3	0	2	48	13	3	7
OTU_413	18	8	6	8	6	1	13	13
OTU_414	16	22	15	7	7	5	7	5
OTU_415	8	11	4	19	27	49	18	44
OTU_416	13	7	20	12	1	5	7	1
OTU_417	16	16	13	23	11	7	14	18
OTU_418	19	27	30	32	16	15	13	11
OTU_419	8	18	26	10	8	4	5	3
OTU_420	13	19	29	28	13	10	7	8
OTU_421	0	3	1	14	0	1	0	0
OTU_422	1	1	1	0	1	1	0	1
OTU_423	16	26	24	24	5	8	5	6
OTU_424	1	1	0	3	6	1	1	2
OTU_425	12	5	7	4	7	4	1	4
OTU_426	1	1	2	1	0	0	0	3
OTU_427	7	5	5	1	3	2	3	3
OTU_428	7	15	30	29	2	5	7	9
OTU_429	11	18	19	16	18	6	13	22
OTU_430	10	5	16	13	5	1	5	1
OTU_431	22	22	44	23	22	15	26	17
OTU_432	35	32	28	48	48	112	118	86
OTU_433	25	18	24	24	11	7	10	5
OTU_434	19	7	10	9	22	20	37	24
OTU_435	8	15	10	15	21	21	22	22
OTU_436	7	11	8	7	9	15	18	5
OTU_437	18	11	5	0	0	0	0	0
OTU_438	43	52	43	57	60	100	99	128
OTU_439	16	19	16	3	8	16	14	18
OTU_440	1	0	3	3	3	1	1	0
OTU_441	18	11	15	22	43	27	16	22
OTU_442	48	16	47	15	11	15	33	17
OTU_443	10	22	29	13	7	10	3	2
OTU_444	10	11	4	11	52	16	29	29
OTU_445	1	1	0	5	0	5	27	1
OTU_446	25	75	52	75	13	11	10	13
OTU_447	1	0	1	3	0	3	5	3
OTU_448	0	0	0	15	0	0	0	0
OTU_449	8	14	8	10	4	18	7	5
OTU_450	0	0	0	18	0	0	0	0
OTU_451	7	3	3	2	5	3	18	7
OTU_452	2	11	3	5	4	4	11	13
OTU_453	27	13	32	24	21	11	22	19
OTU_454	11	6	22	7	19	15	27	33
OTU_455	4	18	20	11	16	15	15	25
OTU_456	50	144	57	115	44	80	59	50
OTU_457	63	38	66	43	27	15	13	16
OTU_458	16	31	15	16	1	3	8	3
OTU_459	1	1	0	3	0	1	5	0
OTU_460	20	4	15	7	12	5	11	3
OTU_461	30	8	27	24	9	11	7	11
OTU_462	5	3	6	1	2	3	2	3
OTU_463	8	16	16	15	15	22	19	18
OTU_464	11	19	24	8	15	11	7	2
OTU_465	0	2	1	0	3	1	0	3
OTU_466	7	10	1	7	8	32	63	35
OTU_467	18	13	13	13	11	5	7	7
OTU_468	16	11	13	15	4	3	3	3
OTU_469	1	0	0	1	0	3	2	3
OTU_470	5	7	5	0	1	0	0	0
OTU_471	66	109	54	157	112	64	45	64
OTU_472	29	30	33	38	29	59	60	37
OTU_473	100	93	102	77	25	19	24	21
OTU_474	24	40	7	12	1	5	3	1
OTU_475	7	3	8	8	2	1	0	2
OTU_476	3	4	5	5	6	8	1	6
OTU_477	0	0	0	12	0	0	0	0
OTU_478	0	0	0	0	0	0	0	0
OTU_479	8	5	10	17	11	10	27	7
OTU_480	5	5	10	7	27	18	12	8
OTU_481	1	3	4	14	0	1	0	1
OTU_482	13	38	21	27	23	24	21	16
OTU_483	4	13	8	8	4	1	6	5
OTU_484	6	0	1	3	8	8	7	7
OTU_485	5	10	15	5	14	7	7	16
OTU_486	27	30	27	37	103	40	46	63
OTU_487	3	5	3	1	0	4	0	1
OTU_488	9	19	16	8	15	4	11	8
OTU_489	4	0	0	0	0	0	0	3
OTU_490	5	7	9	1	4	0	4	5
OTU_491	7	11	8	9	12	13	10	10
OTU_492	1	1	1	3	6	5	11	5
OTU_493	0	0	3	15	1	0	1	0
OTU_494	0	1	3	0	2	1	0	0
OTU_495	5	3	8	3	4	10	4	13
OTU_496	19	14	18	11	48	46	40	45
OTU_497	21	22	25	22	7	8	1	5
OTU_498	18	27	27	23	29	16	17	14
OTU_499	0	1	0	3	0	3	3	0
OTU_500	26	11	21	16	5	8	3	3
OTU_501	8	18	16	30	27	11	41	33
OTU_502	63	8	7	11	0	0	1	4
OTU_503	19	22	22	23	9	1	10	7
OTU_504	0	1	0	1	0	0	0	0
OTU_505	1	6	10	5	7	4	2	9
OTU_506	1	3	0	5	0	4	1	4
OTU_507	10	15	3	24	29	7	73	7
OTU_508	10	7	10	27	16	8	11	8
OTU_509	5	4	5	5	4	4	11	11
OTU_510	16	35	23	21	54	66	29	29
OTU_511	21	27	36	24	15	16	15	16
OTU_512	4	0	1	0	0	0	2	2
OTU_513	3	0	2	1	3	3	0	2
OTU_514	8	8	3	8	24	11	11	16
OTU_515	2	3	1	2	5	5	8	7
OTU_516	0	0	1	0	3	1	4	0
OTU_517	1	3	5	5	3	6	16	8
OTU_518	80	56	52	52	22	15	27	16
OTU_519	8	4	4	3	1	3	1	1
OTU_520	13	10	16	3	10	10	5	5
OTU_521	5	4	3	8	2	4	1	5
OTU_522	5	19	13	9	3	3	5	3
OTU_523	19	18	16	19	58	40	52	64
OTU_524	11	19	26	55	16	19	13	14
OTU_525	22	17	5	10	27	35	15	32
OTU_526	8	16	11	11	13	7	3	5
OTU_527	3	5	7	5	4	1	1	3
OTU_528	2	1	4	6	3	2	1	1
OTU_529	0	0	1	7	0	0	0	0
OTU_530	14	3	1	3	2	3	5	3
OTU_531	19	18	26	12	4	6	7	7
OTU_532	9	1	3	3	5	0	7	1
OTU_533	19	12	17	3	4	3	1	5
OTU_534	16	17	18	27	5	5	3	5
OTU_535	264	292	307	346	403	907	914	530
OTU_536	1	1	3	1	3	7	3	4
OTU_537	5	19	16	10	19	19	18	13
OTU_538	13	15	12	16	8	6	3	1
OTU_539	26	5	1	4	0	1	0	3
OTU_540	5	13	13	16	4	1	3	2
OTU_541	19	30	27	26	24	20	26	27
OTU_542	82	109	130	127	164	61	82	121
OTU_543	26	27	30	27	18	10	5	8
OTU_544	2	3	4	9	0	1	3	2
OTU_545	7	12	17	7	11	5	5	5
OTU_546	12	15	23	44	5	4	14	13
OTU_547	10	13	21	18	13	19	15	13
OTU_548	18	27	43	17	3	7	3	3
OTU_549	16	11	15	11	7	5	4	6
OTU_550	5	5	5	4	0	1	0	3
OTU_551	30	22	19	18	7	5	5	4
OTU_552	5	13	8	11	11	7	5	8
OTU_553	24	22	27	19	37	27	47	33
OTU_554	4	11	16	8	6	5	7	7
OTU_555	4	3	4	6	11	18	19	44
OTU_556	5	3	3	8	8	3	5	9
OTU_557	8	24	13	24	4	1	5	4
OTU_558	5	3	3	0	1	0	0	1
OTU_559	8	11	13	26	4	7	7	4
OTU_560	10	8	7	9	2	3	3	5
OTU_561	24	7	19	9	12	5	7	5
OTU_562	18	13	13	15	5	2	5	3
OTU_563	1	0	1	8	2	2	1	3
OTU_564	5	7	10	7	8	8	5	15
OTU_565	7	6	4	7	11	13	7	8
OTU_566	0	0	0	0	0	0	0	0
OTU_567	24	16	35	19	16	16	16	13
OTU_568	34	3	4	7	0	0	0	1
OTU_569	13	22	19	27	24	16	14	10
OTU_570	5	6	3	4	5	5	3	10
OTU_571	19	88	59	35	7	13	13	10
OTU_572	3	3	4	7	5	5	4	2
OTU_573	9	11	9	7	5	1	3	4
OTU_574	7	3	1	6	2	1	0	5
OTU_575	16	7	7	5	5	3	1	7
OTU_576	9	15	11	11	21	13	19	16
OTU_577	5	16	13	25	3	2	3	3
OTU_578	5	16	22	24	13	26	26	21
OTU_579	8	3	10	8	3	5	1	5
OTU_580	3	7	9	9	10	13	7	7
OTU_581	0	0	0	0	0	0	0	0
OTU_582	11	15	13	11	11	10	7	13
OTU_583	0	1	0	0	1	0	0	0
OTU_584	0	0	0	1	1	0	4	1
OTU_585	8	8	7	5	4	5	5	5
OTU_586	0	0	0	15	0	0	0	0
OTU_587	0	0	3	1	0	0	0	0
OTU_588	0	0	0	0	0	0	0	0
OTU_589	19	24	34	19	5	6	7	9
OTU_590	6	7	8	12	4	5	5	4
OTU_591	15	6	19	6	7	3	1	1
OTU_592	0	3	3	4	0	0	0	0
OTU_593	4	7	7	4	4	0	1	1
OTU_594	7	4	5	7	1	4	0	1
OTU_595	8	11	19	16	6	0	7	3
OTU_596	3	1	1	1	4	1	1	3
OTU_597	1	0	0	1	4	10	1	8
OTU_598	18	23	25	28	41	27	24	22
OTU_599	0	0	0	8	0	0	0	0
OTU_600	0	0	0	0	0	0	0	0
OTU_601	4	3	4	5	3	3	8	6
OTU_602	6	5	15	5	16	7	7	11
OTU_603	5	7	5	8	0	0	0	1
OTU_604	1	8	8	4	5	6	3	5
OTU_605	1	7	5	5	2	3	1	1
OTU_606	3	7	7	4	3	4	1	3
OTU_607	16	13	11	30	38	38	40	62
OTU_608	3	1	0	0	1	0	0	3
OTU_609	10	26	27	18	12	7	13	11
OTU_610	1	0	0	1	0	0	0	0
OTU_611	2	2	3	5	1	1	1	1
OTU_612	0	0	0	3	0	0	0	0
OTU_613	13	10	13	18	7	8	7	7
OTU_614	8	7	7	3	3	2	0	6
OTU_615	18	32	40	64	16	16	19	13
OTU_616	1	2	1	4	3	1	5	0
OTU_617	5	3	5	5	11	7	10	6
OTU_618	19	8	6	10	8	18	21	16
OTU_619	4	3	5	4	7	1	3	2
OTU_620	3	1	1	1	0	0	1	1
OTU_621	0	0	0	12	0	0	2	0
OTU_622	6	7	13	5	3	3	1	7
OTU_623	0	0	3	7	0	0	0	0
OTU_624	32	24	19	25	38	27	33	38
OTU_625	5	5	3	10	4	5	5	4
OTU_626	1	0	0	0	0	0	0	0
OTU_627	13	11	29	12	5	2	5	6
OTU_628	15	15	13	11	12	23	33	40
