	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V39	V40	V41	V42	V43	V44	V45	V46	V47	V48	V49	V50	group	group1	group2
T.T4B.3	-0.211805249	0.151697713	0.031903168	0.023316996	-0.056564924	-0.009667062	-0.020464052	-0.015403055	-0.021258694	0.030581518	0.033088289	-0.035118612	0.019119846	0.020261864	0.028237652	0.054427535	0.047869951	0.015168702	0.020509851	-0.007137671	0.040932759	-0.028687442	-0.031923681	-0.009536891	0.006151905	-0.003364656	0.003998425	-0.017674258	-0.003065161	0.015958095	0.007294526	0.002453227	-0.014674685	0.011800262	-0.030668103	0.002129358	-0.017063367	0.003172905	0.00147416	-0.027451925	0.012828841	-0.008909027	-0.001618909	0.036005971	-0.004507382	-0.010069728	0.006537339	-0.003128216	0.001243451	-0.00105821	T4B	T4	B
T.T4B.4	-0.222582988	0.133062028	0.080175189	0.028309718	-0.037786493	-0.01810336	0.009344227	-0.036201224	0.007326374	0.052243141	0.008395193	-0.058685621	-0.015411095	0.034461164	0.025011713	0.022928007	0.031453036	-0.014006862	0.025227448	-0.029864411	-0.000935446	0.040470406	0.02492053	-0.001243635	-0.026192772	0.013518253	0.015651083	0.018321568	0.022407336	-0.012356014	0.039407136	0.021167164	0.021694896	0.018007541	0.011226979	-0.01125262	0.027475778	-0.014338619	-0.02452616	0.010376548	-0.013056609	-0.003690944	-0.009106326	-0.005297255	0.001324944	0.005832652	0.009337875	0.001755573	-5.09E-05	-0.001080158	T4B	T4	B
T.T4J.1	-0.202636899	0.161296287	0.07404779	-0.011551603	-0.111711502	0.001280296	-0.063945539	0.031901943	-0.064565715	-0.058991488	0.040175319	0.039910265	0.018484423	-0.009730668	0.030109503	-0.018335973	-0.031015824	-0.013609684	0.043099403	0.0099624	-0.010670079	-0.038197814	0.026017949	-0.021099913	-0.029190494	-0.016129604	0.037148817	0.013117924	-0.019557911	0.001672473	-0.012620344	0.014094019	-0.013152524	0.001828345	-0.020952396	-0.008219378	0.012276678	-0.002923566	0.001073704	0.004727813	0.017392292	-0.014580842	0.007054732	-0.017385848	0.011183251	0.011754108	-0.001716066	-0.00078451	-0.004227234	-0.002495026	T4J	T4	J
T.T4J.2	-0.206707804	0.156485542	0.052594384	3.31E-05	-0.10192748	-0.014482216	-0.031266594	-0.04146311	-0.047119002	0.029759351	0.023335639	-0.023943104	-0.00604904	0.064279802	0.010510134	0.011819397	0.022665519	-0.000396011	-0.04424301	0.023049641	-0.00460706	-0.007805479	-0.012795268	0.006901939	-0.014688403	0.046478818	-0.006269246	-0.022874606	-0.01522314	-0.030616543	-0.013642666	-0.022690931	0.013885338	-0.020225075	0.004272142	-0.007464774	-0.005555142	0.013660252	0.025630442	0.023640978	0.012460154	-0.002980894	-0.015978524	-0.018365051	-0.008380258	-0.002156278	-0.005425603	-0.002634173	0.00036308	0.000555087	T4J	T4	J
T.T4J.3	-0.208833797	0.157787192	0.070108736	-0.03170435	-0.125382589	-0.002431197	-0.002571482	-0.035157859	-0.037204902	0.048803655	-0.005433307	0.015283762	-0.032112843	-0.017903709	-0.063968481	-0.027201415	-0.043767192	0.01277719	-0.024274149	0.01362647	-0.016543777	-0.029115835	-0.007294391	-0.025073361	0.011906882	0.000608972	-0.020292072	-0.017548826	-0.007347855	-0.011656256	0.023876516	0.001543189	-0.015266726	0.032368174	-0.018967379	0.008530201	0.022730056	-0.012229557	0.003304155	-0.011622466	-0.029773979	0.016531846	0.005386412	-0.002035509	-0.009544597	-0.003491049	0.001444959	0.000353521	-0.001961155	0.00231149	T4J	T4	J
T.T4J.4	-0.218999569	0.15141259	0.067697617	-0.019441445	-0.11445775	-0.006674942	0.011247525	-0.043695896	-0.031706353	0.048404562	-0.027617927	0.011061681	-0.01761353	0.009785006	-0.032914848	-0.047890827	-0.036918292	0.010787689	0.008921531	0.006410251	0.02282037	0.003632368	0.032788867	-0.007357808	-0.005521983	-0.000112355	0.015733463	0.049106726	0.033822128	0.022848774	-0.025059413	-0.007485377	0.012595575	-0.027992646	0.024794421	0.006143472	-0.012483979	0.006872141	0.003082252	-0.006310996	0.010436519	0.013768945	-0.003256801	0.023811761	0.000829044	-0.006008015	0.004911424	-0.000595821	0.003051893	0.000362677	T4J	T4	J
T.T4ML.1	-0.181551009	-0.08796674	0.20845628	0.107647738	0.000464439	-0.04690339	-0.026483325	0.066191829	0.040932015	-0.026425327	0.001342399	0.038693083	0.004178136	-0.043763499	-0.029116474	-0.011574082	0.018854195	-0.017327386	-0.078339899	-0.058686799	0.024198144	-0.005027435	0.006090971	-0.022443166	-0.005542877	0.01004323	0.009963867	0.015287299	-0.015329411	-0.003528023	0.017604816	0.040605465	0.00160153	-0.005781191	0.006487647	0.006199325	-0.0177536	0.010741816	0.010340531	0.003567929	-0.000967661	-0.011703312	-0.009074543	0.004804757	-0.011816745	0.002942007	0.001551091	-0.001135118	-0.001705327	-0.000304543	T4ML	T4	ML
T.T4ML.2	-0.17679291	-0.102179151	0.212968074	0.10169835	-0.003762426	-0.03517861	-0.013992132	0.062698381	0.054494144	-0.026333779	-0.018382092	0.043195518	-0.006374057	-0.032211965	-0.018702614	-0.000235181	0.029909456	0.024283255	0.019817368	0.052334787	0.027614661	0.023557909	-0.006137259	0.014096501	0.043360963	0.013076458	0.021235539	0.012700621	0.022268431	-0.032860776	-0.017008144	-0.027120227	0.012889401	0.026782611	-0.021913374	-0.017321137	0.013047862	0.0040914	-0.000823409	0.008653988	0.006014584	0.00692684	-0.003132318	0.001765055	0.006212508	-0.002546827	0.002464762	-0.001644749	-0.0004191	-0.00081214	T4ML	T4	ML
T.T4ML.3	-0.181801057	-0.105602939	0.196503464	0.087950895	0.002901771	-0.027768068	-0.002264131	0.061968123	0.05615731	-0.011029673	-0.04665724	-0.015275041	-0.051511351	0.034864884	-0.003464105	-0.007045963	0.007966443	0.017519897	0.056537927	0.02834056	0.042163404	-0.008566458	0.012807312	-0.00220282	-0.019076275	0.00334111	-0.043211524	-0.031666532	-0.008490255	0.035982298	-0.000131423	0.006718926	-0.008474992	-0.029740701	0.006518397	0.01330945	0.006724049	-0.001289376	0.001004064	-0.010301257	-0.012548655	-0.00232628	-0.005184226	-0.018837961	-0.003040848	0.004661237	-0.00073693	0.000568593	-0.00104418	0.00029776	T4ML	T4	ML
T.T4ML.4	-0.187665468	-0.072144026	0.186873186	0.116223432	-0.008024435	-0.046746532	-0.024490214	0.020722916	0.02699992	0.024575999	-0.02752482	-0.048799839	-0.086208187	-0.008980946	0.002151153	0.044278738	-0.042695204	-0.034875281	-0.023069572	-0.014855685	-0.069942698	0.01246241	-0.019439639	0.024244576	-0.020895096	-0.035245449	0.009807332	-0.00565309	0.000867155	0.005040592	-0.006354874	-0.018751934	-0.006635532	-0.008094231	-0.011908804	-0.009518181	-0.009575165	0.000497001	-0.003475272	-0.000123743	0.009091352	-0.002363421	0.015819625	0.007267402	0.011896092	-0.0027392	-0.002383485	-0.00299106	0.002468146	0.000549235	T4ML	T4	ML
