gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
OTU_335	35.151620343986	3.46351101403006	0.725566159288307	4.77352887767994	1.81025578251905e-06	3.47684047118738e-05
OTU_66	88.9504292330676	1.49363978852631	0.315430754946622	4.73523828955446	2.18797875874676e-06	4.13664734075559e-05
OTU_323	22.7230132053759	-2.69355091162497	0.571420697756491	-4.71377904615701	2.43164335195343e-06	4.52659762440562e-05
OTU_8311	18.51558791253	2.66390799709076	0.566672835027863	4.70096294091772	2.58937509761687e-06	4.74718767896426e-05
OTU_5236	21.8803869224686	2.11721168208088	0.451335028315264	4.69099792671526	2.71875726593796e-06	4.90999446535065e-05
OTU_85	71.8315454509582	1.47021311449186	0.317331322229215	4.63305388249665	3.60310710307035e-06	6.41141116869871e-05
OTU_58	37.4224964962995	2.270294447276	0.491498231076946	4.61913045404344	3.85351533994759e-06	6.75761385700954e-05
OTU_94	206.726236675215	-1.12397374157774	0.245993523471914	-4.56911924230425	4.89778081976685e-06	8.46616398845413e-05
OTU_84	154.284866734228	-1.23820926593796	0.273881982823829	-4.52095918530876	6.15600576134171e-06	0.000104912210862302
OTU_162	38.8437863918625	-1.54535504816569	0.343231029336155	-4.50237570639977	6.71980547914967e-06	0.000112930064302376
OTU_43	126.95485573172	1.53284803943408	0.341356782976789	4.49045724554508	7.10704403033854e-06	0.000117413163330449
OTU_7009	16.6837174585519	2.42204150839125	0.539638997784138	4.48826255762949	7.18063974087043e-06	0.000117413163330449
OTU_167	27.9656584708148	2.86906039983348	0.64372904982186	4.45693790054595	8.31386739894183e-06	0.000134130394036261
OTU_71	54.1586566401515	2.00135314694547	0.450995067530152	4.4376386595662	9.09511322056755e-06	0.00014127036438567
OTU_3321	13.2269891008874	2.61556601481194	0.58931727011565	4.43829859983342	9.06727720202223e-06	0.00014127036438567
OTU_6872	16.4993586367152	2.66963473235662	0.60162614487998	4.43736489026618	9.10668464634898e-06	0.00014127036438567
OTU_512	10.9009747196544	3.70918856079407	0.841018788970545	4.41035159908178	1.03202912652963e-05	0.000158070283936817
OTU_7	122.954963861521	1.39329241600062	0.317385417228634	4.38990684627751	1.13399228335221e-05	0.000170897970726439
OTU_54	85.9929647938505	1.94238032168568	0.442658279125875	4.38799049578679	1.14402773792079e-05	0.000170897970726439
OTU_8245	59.4545568098778	-1.2942318588993	0.296508160284615	-4.36491143332102	1.27174274203181e-05	0.00018765959973884
OTU_492	15.2179863490682	2.33456483172968	0.537707491890256	4.3417003983388	1.41384240338536e-05	0.000206114374469432
OTU_98	104.885647539913	-1.34658053520007	0.311394881817939	-4.32435025052005	1.52982078913256e-05	0.000220367042244095
OTU_103	29.5843099766141	2.0811763401807	0.482099594931831	4.3169012421074	1.58234910974288e-05	0.000225252049739869
OTU_8339	15.4779149823583	3.16076581393104	0.744098064665145	4.24778125898423	2.15898034795308e-05	0.000303763514072469
OTU_1052	6.70283555115256	4.02279470700455	0.956998881938466	4.20355214925237	2.62758579431479e-05	0.000365445840358724
OTU_155	29.3202794375315	1.67145980799218	0.398589200723454	4.19343977448064	2.74756047009786e-05	0.000377789564638456
OTU_102	83.1093373878558	-1.42025390641362	0.339607065840894	-4.18205052034756	2.88891753598538e-05	0.00039276294590363
OTU_42	57.9673307731988	1.9012269357987	0.456021991459111	4.16915624993312	3.05729347508017e-05	0.000411036122760779
OTU_130	13.3477057614008	2.64899597931501	0.639219280032202	4.14411151550617	3.41133721413958e-05	0.000453595387814164
OTU_4944	11.0903325080922	2.72445257133667	0.661955158980408	4.11576605208889	3.85895574748835e-05	0.000507536571137054
OTU_26	195.879391750625	1.42762489998635	0.348025857718607	4.10206560324217	4.09478128521948e-05	0.00053276186614146
OTU_5247	34.9624820512132	2.25546977685854	0.550562907816941	4.09666133485416	4.19151403346255e-05	0.000539545955371243
OTU_202	36.639883392368	1.84981833437838	0.452976530600312	4.08369575334705	4.43250568555811e-05	0.000564561250476349
OTU_698	19.0223816952391	2.51590417739245	0.617134333303648	4.07675289093752	4.56689815855238e-05	0.000575619455400873
OTU_45	168.608544655311	-1.05665929199805	0.261211602867502	-4.04522341426784	5.22732487486179e-05	0.000652068360678636
OTU_875	7.67238324804228	3.59275050918774	0.892674226187871	4.0247050982198	5.70467575797041e-05	0.000704352823177979
OTU_205	20.1862504218689	1.9753746572374	0.493052858383088	4.00641558739852	6.16471426068888e-05	0.000753465076306419
OTU_129	75.8003812136515	-1.22231982863776	0.305775428511431	-3.99744294231955	6.40304183115065e-05	0.000774768061569229
OTU_1468	12.650245965404	2.62539047066721	0.66010201556302	3.97724958986519	6.97169777042864e-05	0.000835223198239471
OTU_73	138.688740098165	-0.906436135936092	0.228348064410528	-3.96953719873222	7.20123643819868e-05	0.000848928064908128
OTU_87	54.4139473576938	-1.32501390443345	0.333865515001126	-3.96870549637026	7.22641245335018e-05	0.000848928064908128
OTU_428	16.9869991062554	-1.97519012289269	0.498841561162846	-3.95955404815978	7.5089849585644e-05	0.000873641519217589
OTU_153	20.1532087730499	2.28775602779744	0.581641901182294	3.9332723848594	8.37971880339517e-05	0.000964358531762371
OTU_575	19.1914743029909	-1.77727107180764	0.45208006616883	-3.93131926136268	8.44809953444722e-05	0.000964358531762371
OTU_4625	56.3185325945238	1.76872522089065	0.450767139354076	3.92381135729002	8.71589933972624e-05	0.000985629738417641
OTU_600	13.7782921893937	2.77991061198989	0.709602421377797	3.91756077521873	8.94494983528061e-05	0.00100216567598977
OTU_6049	27.4217543201669	1.70308955484622	0.436817671991234	3.89885680925565	9.66479041522911e-05	0.00107288040389241
OTU_248	27.0796798017095	1.9201170885685	0.494743800360256	3.88103314719727	0.000104013661763515	0.00114415027939866
OTU_227	29.8001674177005	2.26079514264496	0.58761652184179	3.84739887088072	0.000119378528182736	0.00130133350541542
OTU_142	36.5241083044714	-1.34366004326402	0.349926819106858	-3.83983155876287	0.000123118753159084	0.00133012224395081
