gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
OTU_313	4.34421907697179	-0.805591802828241	1.03072988712644	-0.781574118389198	0.434464902211983	0.619397484494634
OTU_7221	5.85455579830718	0.639455454874107	0.820688881858201	0.779169145591755	0.435880082880354	0.62051051099998
OTU_624	14.2149813186516	0.350255009557442	0.453019862840166	0.773155965748501	0.439430082841865	0.623880469462207
OTU_5519	4.87887657475693	-0.610171561402545	0.789356521764607	-0.772998695239137	0.439523152821534	0.623880469462207
OTU_720	6.33693456368665	-0.5018745928073	0.653550043535841	-0.767920678410569	0.442534311487343	0.627244284977712
OTU_7497	4.50842384908508	-0.570146926672883	0.749528801451387	-0.760673806755459	0.446851923522464	0.632447440238741
OTU_188	6.13265459610165	-0.521505651286536	0.692520258727478	-0.753054722535937	0.451417030910227	0.637064727604909
OTU_865	3.60027647964386	-0.647025195777715	0.859002615539798	-0.753228435016026	0.451312654985044	0.637064727604909
OTU_592	3.91668329083657	-0.899489816366678	1.19767302663135	-0.751031204983082	0.452633876129062	0.637861571836055
OTU_203	24.7330631652436	-0.277963996692186	0.374216658576863	-0.742788944108679	0.457609470078891	0.642030467600767
OTU_244	8.44891633796596	-0.418075719885393	0.564259282943956	-0.740928386156329	0.458736863047818	0.642030467600767
OTU_293	31.7908164136728	-0.278225369753429	0.375624220603556	-0.740701356548239	0.458874536659444	0.642030467600767
OTU_1072	4.15256671646624	-0.656360843804787	0.88318435187908	-0.743175354509283	0.457375522416318	0.642030467600767
OTU_1102	3.5548181267002	-0.699058859264179	0.940611387032449	-0.743196253948883	0.457362871009463	0.642030467600767
OTU_278	4.28164390593578	0.606182165256459	0.821693062020597	0.737723358361841	0.460682574787562	0.643639368774623
OTU_8243	17.913721144674	-0.294933534053618	0.401256963175267	-0.735024089600142	0.462324823198262	0.645012378156776
OTU_549	8.38941703980846	-0.403618922046744	0.551874048855587	-0.73136057563084	0.464558939319055	0.647206043666718
OTU_4981	3.52819178608913	0.623974175289193	0.858841412473318	0.726530144246599	0.467513834859219	0.650396202691773
OTU_238	11.7059796006472	-0.497213805143564	0.686915083304019	-0.723835911059045	0.469166479677067	0.65176820614229
OTU_1004	8.80796163401563	-0.389379575935425	0.540278488738625	-0.720701608617621	0.471093122490652	0.653516416731713
OTU_5217	4.83235658106748	0.526557860866164	0.735040521905615	0.716365758313632	0.473765532474236	0.655493480510351
OTU_6624	8.60834744450715	-0.430451860488386	0.601921548961868	-0.715129506878072	0.474529022700745	0.655493480510351
OTU_7149	5.48654858996707	-0.481709126265376	0.673581461388587	-0.715146057126236	0.474518797056362	0.655493480510351
OTU_994	3.64191042246417	-0.647746427416801	0.907753141640255	-0.713571121600705	0.475492420006551	0.655897865678994
OTU_830	6.97705126918885	0.500874704091512	0.705373675917191	0.710084202448056	0.477651922070772	0.657948703922839
OTU_460	15.0210832073246	-0.299875920017807	0.42413902115772	-0.70702270967494	0.4795523651987	0.658710973545406
OTU_648	7.8640150679542	0.441794146963107	0.624808102946381	0.707087736026081	0.479511956798338	0.658710973545406
OTU_781	7.53785942371261	-0.414318467827256	0.588570982429135	-0.703939677959134	0.481470340362138	0.659662047682643
OTU_4813	5.23454062823657	-0.535413034081087	0.760809227196839	-0.703741509620996	0.481593764872604	0.659662047682643
OTU_731	5.3345465456958	0.502770715330518	0.71771732520913	0.70051355550602	0.483606642647354	0.660568849873061
OTU_914	4.67280718091896	0.550504320296037	0.785603944415279	0.700740270220734	0.483465119671918	0.660568849873061
OTU_674	3.75499632935431	-0.634554304372978	0.909573118125604	-0.697639685834857	0.485402556225601	0.661477219547104
OTU_2031	4.40426294074802	0.552076362417259	0.791751248769651	0.69728511735872	0.485624379994704	0.661477219547104
OTU_216	16.6331165163252	-0.302468228928617	0.435806864954503	-0.694041909964393	0.487655926515128	0.663320578764667
OTU_339	7.12552960152563	-0.577370768671022	0.835200773015586	-0.691295778602264	0.489379684123227	0.664547771682808
OTU_3752	4.61786488639692	0.517289068383848	0.749215833954603	0.690440651331979	0.489917120023829	0.664547771682808
OTU_215	21.8062793362957	0.306303613856402	0.446979359366626	0.685274627200767	0.493170639614583	0.668034467511166
OTU_74	98.4684464007673	0.212759603866628	0.311344817791418	0.683356817614238	0.494381399608202	0.668748283287443
OTU_172	5.93245472476055	-0.532931263751217	0.78418525695403	-0.679598677768126	0.496758607121517	0.670110231399784
OTU_199	16.3907573290284	0.314676961165841	0.462344959591552	0.680610774785638	0.496117807299871	0.670110231399784
OTU_796	5.02630311459956	0.483611851417415	0.716255734321518	0.675194386925952	0.499552272351288	0.671101816427966
OTU_1511	10.8972307239505	0.342314142647788	0.506564072847692	0.675756850902277	0.499195034405613	0.671101816427966
OTU_1579	13.321345353233	-0.307917618265343	0.455499051507676	-0.676000569586595	0.499040283423567	0.671101816427966
OTU_464	4.05192885338253	-0.516068632884746	0.770292811081184	-0.669964233679387	0.502880590573174	0.674646388999402
OTU_1936	8.71527722558326	0.384359609869558	0.576220900264867	0.667035176427794	0.504749664600964	0.676226262985949
OTU_550	5.48444244535132	-0.46485664580721	0.701061346382104	-0.663075561370126	0.507282161604802	0.677762232308056
OTU_1093	4.0373285347638	-0.517729869308153	0.779835735948647	-0.663896055851236	0.506756840813629	0.677762232308056
OTU_5175	8.43954120452204	0.354210472824546	0.537806870683745	0.658620207611364	0.510139683226062	0.680650218547188
OTU_111	10.3991218869503	0.410331388782851	0.630958027312659	0.650330720936402	0.515478617133132	0.684970227657885
OTU_611	4.37219888889497	0.492171830592671	0.755928488940127	0.651082526711933	0.514993215289235	0.684970227657885
OTU_993	10.7233605560652	0.349097646058287	0.535481978708423	0.651931642779664	0.514445270913641	0.684970227657885
OTU_430	11.8070634333739	-0.308723893988356	0.475661961248584	-0.649040535379315	0.516312175919526	0.685146958004472
OTU_4437	8.26287699802463	-0.394300455534909	0.608876773216184	-0.647586626522394	0.517252349312092	0.685464495429846
OTU_542	6.14965345180945	-0.462548055117998	0.722554512143689	-0.640156621187932	0.522070781213322	0.690800675120429
OTU_2818	22.0121391483942	-0.260838791704539	0.408069606315632	-0.639201713794844	0.522691717371286	0.690800675120429
OTU_118	72.3457874630713	-0.152891118573968	0.245156111287168	-0.623648000334268	0.532858779876123	0.701736883037436
OTU_663	11.8859522425304	-0.316920212173108	0.508494732408203	-0.623251711324897	0.533119124843369	0.701736883037436
OTU_995	3.83372391011564	-0.582981284213068	0.934050958963772	-0.624142910639289	0.532533735272248	0.701736883037436
OTU_62	126.58897723889	-0.150903228921045	0.246053872848072	-0.613293451447609	0.539682322603745	0.707475495517429
OTU_482	8.22466298712266	0.378988842252046	0.61907825580523	0.612182448177085	0.540417052872861	0.707475495517429
OTU_561	7.41170632990868	-0.387800491101724	0.632535312363424	-0.613089077434641	0.539817441971723	0.707475495517429
OTU_613	8.92606855275893	-0.331114183776366	0.541782701492594	-0.611156803021133	0.541095777757707	0.707475495517429
OTU_1021	4.15014490068554	0.506855968319647	0.828142062063083	0.612039880038163	0.540511372439488	0.707475495517429
OTU_924	6.88205096350922	-0.398711061969562	0.660851626284903	-0.60332916816894	0.54628973258474	0.712015525530836
OTU_925	9.24995303527051	-0.39143975794603	0.649470400137013	-0.602706078465549	0.546704237156731	0.712015525530836
OTU_7004	4.10146056867058	-0.531784891750486	0.882434291855719	-0.602633982675544	0.546752208255274	0.712015525530836
OTU_516	11.3447751265935	0.296850192480553	0.49409957435538	0.600790221015338	0.547979718216256	0.712665112254652
OTU_119	30.1557064087702	0.195634153233858	0.327647198811703	0.597087824780361	0.550448746203156	0.714925463196131
OTU_184	10.0985978736472	-0.451316337917403	0.761334360973736	-0.592796491334209	0.553317356160927	0.717698109184863
OTU_569	4.05031721659392	0.459541000003215	0.78810521018161	0.58309600554134	0.559828672590907	0.724222806605697
OTU_2936	5.04522446967743	-0.427873779451712	0.732746136729431	-0.583931812130052	0.559266189192129	0.724222806605697
OTU_281	14.3332379785851	-0.269999504995643	0.464615150735557	-0.581125054936742	0.561156173517861	0.724981159445797
OTU_382	24.5240135071039	0.199791460942974	0.346138856950987	0.577200325623264	0.563804137123951	0.72744122177734
OTU_749	4.15140536954918	-0.487647966176335	0.851616979022107	-0.572614189463778	0.566905950056504	0.72861529775985
OTU_6822	15.8616931711747	0.237406955201713	0.413122667618924	0.57466455803559	0.565518181596808	0.72861529775985
OTU_7291	7.55217821329734	-0.32216822482088	0.562689678737978	-0.572550442978538	0.566949122285527	0.72861529775985
OTU_702	4.33547888012374	-0.435427758418802	0.763264227530826	-0.570481024411977	0.568351488681267	0.729458997283831
OTU_664	6.82723592367506	0.35303853785053	0.6211685143652	0.568345834803485	0.569800161941189	0.730359840600894
OTU_552	3.49944445265848	0.604599989663876	1.06889232371286	0.565632268331538	0.571643787338782	0.731763905781844
OTU_67	77.2511282484095	0.147579870741856	0.266403916945817	0.553970348611171	0.579599138568746	0.740977722248672
OTU_381	4.55792094150129	0.593216520291865	1.08060763040315	0.548965696337486	0.583028991440716	0.741485505369337
OTU_688	3.84577152465097	0.516898851894747	0.940318826564353	0.549705947910607	0.582521076598151	0.741485505369337
OTU_819	6.62819999031527	-0.336704122091162	0.611149851431238	-0.550935456014009	0.581677920915074	0.741485505369337
OTU_1423	9.68786814934027	0.313438488454122	0.56869672696805	0.551152263747301	0.581529300587426	0.741485505369337
